åé,ì˙,éû,ãCâ∑,ê‚ëŒéºìx,êÑíËì˙éÀó ,â∫å¸Ç´ëÂãCï˙éÀ,ìÏñkïó,ìåêºïó,ãCà≥,ç~êÖó ,ïóë¨,ïóå¸,ëæózçÇìx,ëæózï˚à ,ñ@ê¸ñ íºíBì˙éÀó ,êÖïΩñ ìVãÛì˙éÀó ,ñÈä‘ï˙éÀ
1,5,9,-4.888697,1.816105,0.436572,0.779680,0.397394,1.888859,101265.161155,1.409330,1.897155,247.500000,10.686640,135.614593,0.961190,0.258331,0.277424
1,5,10,-2.832948,2.068735,0.687052,0.847428,-0.016689,3.044226,101356.709510,0.777036,3.044226,270.000000,17.448800,148.065409,0.594046,0.508925,0.242453
1,5,11,-2.068511,1.981731,0.870425,0.883336,-0.508578,4.212053,101319.913383,0.732952,4.212053,270.000000,22.077788,161.916458,0.753360,0.587263,0.218927
1,5,12,-1.723194,1.988209,1.038097,0.854258,-0.772094,4.211850,101275.526194,0.497589,4.211850,270.000000,24.102344,176.780913,0.842966,0.693857,0.253632
1,5,13,-1.531536,1.907671,1.027501,0.842890,-1.107171,4.150343,101318.982110,0.480821,4.258113,292.500000,23.278411,191.846217,0.927804,0.660834,0.268133
1,5,14,-1.837415,1.974884,0.819828,0.871323,-1.285468,3.428910,101355.824741,0.950201,3.659827,292.500000,19.708445,206.204026,1.043335,0.467980,0.234703
1,5,15,-2.026788,1.967518,0.566133,0.847440,-0.749736,2.496087,101444.111614,1.562401,2.592995,292.500000,13.789014,219.266559,1.120932,0.298962,0.255502
1,5,16,-2.959915,1.992797,0.198099,0.809550,-0.408749,2.125408,101490.538739,0.421087,2.125408,270.000000,6.039690,230.913338,0.436500,0.152172,0.278286
1,5,17,-3.675584,1.862931,0.006392,0.803628,-0.014925,2.223918,101520.674660,0.260382,2.223918,270.000000,-3.043954,241.369473,0.000000,0.006392,0.272727
1,5,18,-4.410287,1.814525,0.000000,0.822878,0.434448,1.958629,101546.254235,0.070588,1.975793,247.500000,-13.050469,251.041797,0.000000,0.000000,0.241787
1,5,19,-4.053457,1.968447,0.000000,0.855868,0.097586,2.395908,101603.845848,0.275285,2.395908,270.000000,-23.647357,260.447571,0.000000,0.000000,0.214463
1,5,20,-3.767955,2.164037,0.000000,0.867251,-0.098541,2.371774,101575.581813,0.754669,2.371774,270.000000,-34.541899,270.264885,0.000000,0.000000,0.207629
1,5,21,-4.745865,1.812038,0.000000,0.873338,0.698508,1.763470,101548.131323,0.330153,1.896541,247.500000,-45.410496,281.547502,0.000000,0.000000,0.186019
1,5,22,-4.866546,1.820084,0.000000,0.826709,0.598008,1.913752,101571.662905,0.013323,1.996924,247.500000,-55.746117,296.266561,0.000000,0.000000,0.230744
1,5,23,-5.161287,1.830531,0.000000,0.790199,0.540465,1.862019,101558.387944,0.038933,1.927108,247.500000,-64.453723,318.310802,0.000000,0.000000,0.262614
1,6,0,-5.238640,1.789580,0.000000,0.779745,1.064959,1.355440,101538.242869,0.001796,1.711481,225.000000,-68.980162,243.568109,0.000000,0.000000,0.271854
1,6,1,-6.148271,1.714089,0.000000,0.748760,1.261976,1.180285,101564.739388,0.000000,1.726939,225.000000,-67.054273,28.478376,0.000000,0.000000,0.288629
1,6,2,-6.463299,1.699849,0.000000,0.787691,1.185852,1.231387,101594.204672,0.020139,1.709246,225.000000,-59.730822,55.261259,0.000000,0.000000,0.244811
1,6,3,-7.243623,1.587856,0.000000,0.849160,1.245964,0.634929,101613.641068,0.029882,1.394098,202.500000,-49.916385,72.542809,0.000000,0.000000,0.171311
1,6,4,-7.251982,1.589551,0.000000,0.789394,1.237577,0.855870,101554.367965,0.011278,1.480290,225.000000,-39.200293,85.001851,0.000000,0.000000,0.230948
1,6,5,-7.108218,1.601367,0.000000,0.799312,1.342539,1.213718,101558.001179,0.023086,1.807546,225.000000,-28.271561,95.302044,0.000000,0.000000,0.223239
1,6,6,-6.972395,1.613987,0.000000,0.821689,1.542400,0.845938,101452.263933,0.015139,1.748718,202.500000,-17.507074,104.798685,0.000000,0.000000,0.202952
1,6,7,-6.599919,1.658828,0.000000,0.828811,1.013594,1.433724,101553.554388,0.035396,1.730515,225.000000,-7.202277,114.294031,0.000000,0.000000,0.201577
1,6,8,-5.939716,1.748184,0.050679,0.814290,0.397940,1.812171,101649.391853,0.018147,1.826513,247.500000,2.333278,124.362709,0.000000,0.050679,0.226345
