ì˙éû,ãCâ∑,ëäëŒéºìx,ãCà≥,ç~êÖó ,ç~ê·ó ,ïóë¨,ïóå¸,ëSìVì˙éÀó ,ëÂãCìßâﬂó¶,â_ó 
y/m/d HH:MM,Åé,%,Pa,mm,mm,m/s,-,W/m2,-,-
date,temp,rh,p_atm,Jp,Js,WS,WD,Qs,tau,cloudiness
2022/1/12 2:00,1.2,72,,0.0,,0.8,ìÏìÏêº,,1.0e-50,
2022/1/12 3:00,0.6,75,,0.0,,0.6,ìÏìÏêº,,1.0e-50,
2022/1/12 4:00,-0.1,76,,0.0,,0.6,ìÏêº,,1.0e-50,
2022/1/12 5:00,-0.6,76,,0.0,,0.8,ìÏìÏêº,,1.0e-50,
2022/1/12 6:00,-1.0,73,,0.0,,0.7,ìÏêº,,1.0e-50,
2022/1/12 7:00,-1.2,76,,0.0,,0.8,ìÏ,,1.0e-50,
2022/1/12 8:00,-0.8,75,,0.0,,1.0,ìÏìÏêº,,0.01,
2022/1/12 9:00,1.2,67,,0.0,,0.8,ìÏìÏêº,,0.01,
2022/1/12 10:00,3.7,55,,0.0,,2.0,êºìÏêº,,0.01,
2022/1/12 11:00,5.6,46,,0.0,,2.5,êºìÏêº,,0.01,
2022/1/12 12:00,6.2,40,,0.0,,2.6,êºìÏêº,,0.01,
2022/1/12 13:00,6.9,40,,0.0,,2.8,êº,,0.01,
2022/1/12 14:00,7.4,42,,0.0,,3.1,êº,,0.01,
2022/1/12 15:00,6.9,46,,0.0,,2.8,êº,,0.01,
2022/1/12 16:00,6.7,46,,0.0,,2.6,êº,,0.01,
2022/1/12 17:00,6.1,49,,0.0,,1.7,êº,,0.01,
2022/1/12 18:00,5.6,53,,0.0,,1.9,êºìÏêº,,0.01,
2022/1/12 19:00,5.0,56,,0.0,,1.5,êºìÏêº,,1.0e-50,
2022/1/12 20:00,4.5,58,,0.0,,1.6,êº,,1.0e-50,
2022/1/12 21:00,4.2,63,,0.0,,1.5,êº,,1.0e-50,
2022/1/12 22:00,3.8,61,,0.0,,1.8,êº,,1.0e-50,
2022/1/12 23:00,3.2,61,,0.0,,1.7,êºìÏêº,,1.0e-50,
2022/1/13 0:00,2.8,65,,0.0,,2.0,êº,,1.0e-50,
2022/1/13 1:00,2.6,64,,0.0,,1.9,êº,,1.0e-50,
2022/1/13 2:00,2.4,63,,0.0,,1.7,êº,,1.0e-50,
2022/1/13 3:00,1.8,67,,0.0,,1.9,êº,,1.0e-50,
2022/1/13 4:00,2.1,66,,0.0,,2.1,êºñkêº,,1.0e-50,
2022/1/13 5:00,2.1,74,,0.2,,1.9,ñkêº,,1.0e-50,
2022/1/13 6:00,1.6,77,,0.1,,1.4,êºñkêº,,1.0e-50,
2022/1/13 7:00,1.5,79,,0.1,,1.2,ñkñkêº,,1.0e-50,
2022/1/13 8:00,1.9,75,,0.0,,1.2,ñk,,0.01,
2022/1/13 9:00,3.0,68,,0.0,,1.9,ñkñkìå,,0.01,
2022/1/13 10:00,4.4,54,,0.0,,2.7,ñk,,0.01,
2022/1/13 11:00,4.9,48,,0.0,,3.5,ñk,,0.01,
2022/1/13 12:00,5.0,47,,0.0,,3.3,ñk,,0.01,
2022/1/13 13:00,5.0,46,,0.0,,3.3,ñkñkêº,,0.01,
2022/1/13 14:00,5.0,46,,0.0,,3.2,ñkñkêº,,0.01,
2022/1/13 15:00,4.7,50,,0.0,,2.9,ñkñkêº,,0.01,
2022/1/13 16:00,4.3,51,,0.0,,2.9,ñk,,0.01,
2022/1/13 17:00,3.4,54,,0.0,,2.3,ñk,,0.01,
2022/1/13 18:00,2.4,57,,0.0,,1.3,ñk,,0.01,
2022/1/13 19:00,1.7,63,,0.0,,1.3,ñk,,1.0e-50,
2022/1/13 20:00,1.1,64,,0.0,,1.3,ñk,,1.0e-50,
2022/1/13 21:00,0.7,64,,0.0,,1.1,ñkñkìå,,1.0e-50,
2022/1/13 22:00,0.4,63,,0.0,,1.0,ñkñkìå,,1.0e-50,
2022/1/13 23:00,-0.0,64,,0.0,,0.7,ñkêº,,1.0e-50,
